Manage Manifests,Direction des Manifestes
Canada Post Manifests,Manifestes des Postes Canada
Canada Post,Postes Canada
Enabled for Checkout,Activé pour la Caisse
Title,Titre
Locale,Localement
Indicates your language preference for receiving error messages.,Indique votre préférence de langue pour recevoir des messages d'erreur.
Sandbox Mode,Mode bac à sable
Customer Number,Numéro de Client
Contract ID,ID de Contact
"If you are a Canada Post commercial customer with a parcel agreement, please fill your contract id.","Si vous êtes un client commercial de Postes Canada avec un accord de colis, veuillez remplir votre identifiant de contrat."
API Username,Nom d'utilisateur API
API Password,Mot de passe de l'API
API Username (Development),Nom d'utilisateur API (Développement)
API Password (Development),Mot de passe de l'API (Développement)
Max Package Weight,Poids maximum du paquet
In kilogram. 0 - unlimited weight.,En kilogramme. 0 - poids illimité.
Quote Type,Type de Devis
Commercial - will return the discounted price for the commercial customer or Solutions for Small Business member. Counter - will return the regular price paid by consumers.,Commercial - retournera le prix réduit pour le Client Commercial ou le membre Solutions pour Petit Commerce. Counter - retournera le prix régulier payé par les consommateurs.
Lead Days,Délais
Expected mailing date after days.,Attendu mailing date après jours.
Show Estimated Delivery Date,Afficher la date de livraison estimée
Default Box Length,Longueur de la boîte par défaut
Value in centimeters. Used for rating calculation. 0 - to ignore this setting.,Valeur en centimètres. Utilisé pour le calcul de la note. 0 - pour ignorer ce paramètre.
Default Box Width,Largeur de la boîte par défaut
Default Box Height,Hauteur de la boîte par défaut
Options For Shipment,Options d'expédition
Signature Threshold,Seuil de Signature
"The minimum order price at which the Canada Post ""Signature"" option is added to the rate quote. Set to ""0"" for Signature required on all shipments. Set to a value higher than any expected order price to disable, eg: ""99999"".","Le prix de commande minimum auquel l'option ""Signature"" de Postes Canada est ajoutée au tarif. Réglez sur ""0"" pour la signature requise sur tous les envois. Définissez une valeur supérieure à tout prix de commande attendu pour désactiver, par exemple: ""99999""."
Coverage Threshold,Seuil de Couverture
"The minimum price at which postal insurance coverage should be added to the rate quote. ""0"" for all shipments, some value higher than any expected order price to disable, eg: ""99999"".","Le prix minimum auquel la couverture d'assurance postale devrait être ajoutée au tarif. ""0"" pour toutes les expéditions, une valeur supérieure à tout prix de commande attendu à désactiver, par exemple: ""99999""."
Notification,Notification
Contains client preferences with respect to email notification for tracking events e.g. delivery.,"Contient les préférences du client en ce qui concerne la notification par email pour les événements de suivi, par exemple livraison."
Print Output Format,Format de sortie d'impression
Non-delivery handling,Non-livraison Manutention
Reason For Export,Raison pour l'export
Other Reason,Autre Raison
Maximum 44 characters,44 caractères maximum
Calculate Handling Fee,Calculer le prix de manutention
Handling Applied,Manutention Appliquée
Handling Fee,Prix de Manutention
Allowed Methods,Méthodes permettées
Free Method,Méthode Libre
Free Shipping Amount Threshold,Livraison Gratuite de Total Seuil
Enable Free Shipping Threshold,Activer de Livraison Gratuite Seuil
Displayed Error Message,Affiché Message d'erreur
Ship to Applicable Countries,Expédition dans des pays applicables
Ship to Specific Countries,Expédition dans des pays spécifiques
Debug,Débugger
Show Method if Not Applicable,Afficher la Méthode si elle n'est pas Applicable
Sort Order,Ordre de tri
Transmit Shipments,Transmettre les Envois
ID,ID
Group ID,Groupe ID
Canada Post Manifest ID,Manifestes de Postes Canada ID
Status,Statut
Created At,Créé à
Updated At,Mis à jour à
View,Vue
Back,Reculer
Order ID,Ordre ID
Shipment ID,Expédition ID
Customer,Client
Canada Post Shipment ID,Canada Post Shipment ID
Ordered At,Ordrée à
Token id is not valid.,Token id n'est pas valide.
Please select an office.,S'il vous plaît, sélectionnez un bureau.
My Location,Ma position.
View details and directions,Voir les détails et les directions
Delivery to nearest post office.,Livraison au bureau de poste le plus proche.
Change post office,Changer le bureau de poste
Something went wrong while loading Google Maps.,Une erreur s'est produite lors du chargement de Google Maps.
